Date,YoY_Change_%,Regime,Volatility_12m,Momentum_6m,Second_Derivative
1998-01-01,28.619952,Stable_Expansion,,,
1998-02-01,36.04143,Strong_Expansion,,,
1998-03-01,39.777746,Strong_Expansion,5.679418,,-1.228387
1998-04-01,42.538068,Strong_Expansion,6.035136,,2.15702
1998-05-01,35.280881,Strong_Expansion,5.267397,,-4.892888
1998-06-01,29.883123,Strong_Expansion,5.420998,,-3.044691
1998-07-01,32.94244,Strong_Expansion,5.03211,4.322487,0.099665
1998-08-01,25.300633,Stable_Expansion,5.787347,-10.740797,-0.128206
1998-09-01,9.53229,Stable_Expansion,9.73303,-30.245456,-3.456862
1998-10-01,2.905771,Stable_Expansion,12.79484,-39.632297,-3.228612
1998-11-01,12.020401,Stable_Expansion,13.091134,-23.26048,5.585479
1998-12-01,13.008513,Stable_Expansion,13.101807,-16.87461,5.585485
1999-01-01,22.127423,Stable_Expansion,13.102261,-10.815017,5.248476
1999-02-01,15.270152,Stable_Expansion,12.897738,-10.030482,-5.323967
1999-03-01,13.427417,Stable_Expansion,12.0691,3.895128,-0.943616
1999-04-01,25.745452,Stable_Expansion,10.196647,22.839681,1.066375
1999-05-01,26.386458,Stable_Expansion,9.247055,14.366058,2.499426
1999-06-01,21.597984,Stable_Expansion,8.654661,8.589471,-0.981913
1999-07-01,17.71835,Stable_Expansion,7.337604,-4.409073,-5.399223
1999-08-01,20.360023,Stable_Expansion,6.963913,5.089871,0.666889
1999-09-01,31.271404,Stable_Expansion,7.723108,17.843987,5.233285
1999-10-01,40.361563,Strong_Expansion,8.393449,14.616112,4.323264
1999-11-01,46.811301,Strong_Expansion,10.51999,20.424842,1.269355
1999-12-01,62.750044,Strong_Expansion,14.589801,41.15206,1.675787
2000-01-01,60.427422,Strong_Expansion,17.019585,42.709072,-3.80426
2000-02-01,74.456905,Extreme_Expansion,20.080696,54.096883,2.526582
2000-03-01,80.452073,Extreme_Expansion,22.204906,49.180669,-3.314525
2000-04-01,45.780642,Extreme_Expansion,21.586569,5.419079,-10.782936
2000-05-01,35.226112,Strong_Expansion,21.074459,-11.585189,-8.194671
2000-06-01,40.904659,Strong_Expansion,19.845956,-21.845385,-0.10554
2000-07-01,39.168773,Strong_Expansion,17.900713,-21.258649,10.978515
2000-08-01,41.334428,Strong_Expansion,15.844994,-33.122478,4.240062
2000-09-01,42.408863,Strong_Expansion,14.955048,-38.043211,-1.534704
2000-10-01,29.190926,Strong_Expansion,15.979189,-16.589717,-3.82735
2000-11-01,8.982428,Stable_Expansion,19.897104,-26.243684,-7.458051
2000-12-01,-13.052193,Stable_Expansion,25.579401,-53.956852,-7.703019
2001-01-01,-19.861833,Contraction,29.995446,-59.030606,2.136099
2001-02-01,-30.020126,Contraction,32.188094,-71.354554,3.350068
2001-03-01,-41.721318,Crisis,32.389995,-84.13018,3.444477
2001-04-01,-34.467616,Crisis,33.684356,-63.658542,4.68778
2001-05-01,-28.739557,Crisis,34.073283,-37.721985,5.295451
2001-06-01,-32.096525,Crisis,33.164873,-19.044332,2.781408
2001-07-01,-34.14452,Crisis,31.345226,-14.282687,-3.100565
2001-08-01,-36.147168,Crisis,27.72727,-6.127042,-2.576903
2001-09-01,-41.552064,Crisis,21.62343,0.169254,-0.682642
2001-10-01,-39.28755,Crisis,14.525746,-4.819934,1.437503
2001-11-01,-32.983906,Crisis,8.467173,-4.244349,2.768764
2001-12-01,-23.724125,Crisis,6.663816,8.3724,4.888225
2002-01-01,-22.896012,Contraction,6.163063,11.248508,-0.4788
2002-02-01,-22.100992,Contraction,6.907502,14.046176,-1.836208
2002-03-01,-8.414332,Contraction,9.178632,33.137732,1.475626
2002-04-01,-9.667454,Contraction,10.67996,29.620096,-0.693745
2002-05-01,-13.788714,Contraction,11.389324,19.195192,-1.63876
2002-06-01,-14.262327,Contraction,11.736739,9.461798,-4.720091
2002-07-01,-17.143597,Contraction,11.54578,5.752414,-0.542716
2002-08-01,-17.818753,Contraction,10.915335,4.282239,1.148701
2002-09-01,-13.818693,Contraction,9.192293,-5.404361,1.491224
2002-10-01,-9.004574,Contraction,7.269414,0.66288,2.56513
2002-11-01,-12.523833,Contraction,5.363941,1.264881,-0.948034
2002-12-01,-13.100023,Contraction,4.707121,1.162304,-1.525417
2003-01-01,-12.128199,Contraction,3.933135,5.015398,-1.280765
2003-02-01,-9.304142,Contraction,3.073713,8.514611,2.114439
2003-03-01,-9.883252,Contraction,2.917987,3.935441,-0.000974
2003-04-01,-9.954612,Contraction,2.891885,-0.950037,-0.347728
2003-05-01,-2.583617,Contraction,4.082152,9.940216,1.515646
2003-06-01,9.293248,Contraction,7.233979,22.393271,4.151992
2003-07-01,21.209826,Stable_Expansion,11.131851,33.338025,3.995979
2003-08-01,20.161557,Stable_Expansion,12.918796,29.465699,-2.806421
2003-09-01,25.778983,Stable_Expansion,14.93491,35.662235,-2.08648
2003-10-01,26.528522,Stable_Expansion,16.467885,36.483134,-3.722346
2003-11-01,30.913015,Stable_Expansion,17.534795,33.496632,1.810921
2003-12-01,30.123843,Stable_Expansion,17.601889,20.830595,-2.135533
2004-01-01,33.975288,Strong_Expansion,17.359641,12.765462,1.033969
2004-02-01,35.534743,Strong_Expansion,16.73608,15.373186,-0.941679
2004-03-01,32.706024,Strong_Expansion,14.781734,6.927042,-0.679849
2004-04-01,38.775596,Strong_Expansion,11.869343,12.247074,0.739375
2004-05-01,26.097252,Strong_Expansion,8.033675,-4.815763,-4.745933
2004-06-01,15.279206,Stable_Expansion,6.900065,-14.844637,-2.663109
2004-07-01,7.692043,Stable_Expansion,8.930239,-26.283245,-4.552245
2004-08-01,12.337321,Stable_Expansion,9.722529,-23.197423,5.774541
2004-09-01,13.127797,Stable_Expansion,10.44466,-19.578228,3.869507
2004-10-01,12.866247,Stable_Expansion,11.022186,-25.909349,2.441871
2004-11-01,15.567921,Stable_Expansion,11.052417,-10.529331,-0.647868
2004-12-01,19.902016,Stable_Expansion,10.831733,4.622811,1.181206
2005-01-01,16.202905,Stable_Expansion,10.242771,8.510861,-1.145854
2005-02-01,17.173717,Stable_Expansion,9.101734,4.836396,-0.576954
2005-03-01,18.503429,Stable_Expansion,8.012464,5.375633,-1.001461
2005-04-01,9.391884,Stable_Expansion,4.904552,-3.474363,-1.804144
2005-05-01,13.186445,Stable_Expansion,3.564501,-2.381476,0.941249
